Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,248,000248,Раводиди дипломатии навъи «Д»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,249,000249,Раводиди хизматии навъи «X»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,250,000250,Раводиди сармоягузории навъи «С»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,251,000251,Раводиди кории навъи «К»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,252,000252,Раводиди меҳнатии навъи «М»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,253,000253,Раводиди сайёҳии навъи «Т»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,254,000254,Раводиди таҳсилотии навъи «О1»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,255,000255,Раводиди таҳсилотии навъи «О2»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,256,000256,Раводиди хусусии навъи «ХС1»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,257,000257,Раводиди хусусии навъи «ХС2»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,258,000258,Раводиди хусусии навъи «ХСЗ»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,259,000259,Раводиди минтақаи озоди иқтисодии навъи «МОИ»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,260,000260,Раводиди нақлиётии навъи «Н»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,261,000261,Раводид барои истиқомати доимии навъи «ИД»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,262,000262,Раводиди воситаҳои ахбори омма барои навъи «Ж»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,263,000263,Раводиди табширии навъи «ТБ»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,264,000264,Раводиди башардӯстонаи навъи «Б»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,265,000265,Раводиди хуруҷии навъи «Хуруҷӣ»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Раводид,266,000266,Раводиди транзитии навъи «ТР»,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ва муассисаҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,268,000268,Шаҳодатномаи бозгашт ба Ҷумҳурии Тоҷикистон,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон,"Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон, консулгариҳои Ҷумҳурии Тоҷикистон дар давлатҳои хориҷӣ, Хадамоти шиносномавию бақайдгирӣ дар шаҳру ноҳияҳо","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Шиноснома,269,000269,Шиносномаи дипломатии шаҳрванди Ҷумҳурии Тоҷикистон,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Шиноснома,270,000270,Шиносномаи хизматии шаҳрванди Ҷумҳурии Тоҷикистон,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ КОРҲОИ ХОРИҶИИ ҶУМҲУРИИ ТОҶИКИСТОН,Шиноснома,271,000271,Шиносномаи умумишаҳрвандии хориҷии шаҳрванди Ҷумҳурии Тоҷикистон,Шахсони воқеӣ,Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон,"Сарраёсати консулии Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон, консулгариҳои Ҷумҳурии Тоҷикистон дар давлатҳои хориҷӣ, Хадамоти шиносномавию бақайдгирӣ дар шаҳру ноҳияҳо","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МАОРИФ ВА ИЛМИ ҶУМҲУРИИ ТОҶИКИСТОН,Аттестат,272,000272,Аттестат (шаҳодатнома) дар бораи таҳсилоти умумии асосӣ,Шахсони воқеӣ,Муассисаҳои таълимии таҳсилоти умумии асосӣ,Муассисаҳои таълимии таҳсилоти умумии асосӣ,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МАОРИФ ВА ИЛМИ ҶУМҲУРИИ ТОҶИКИСТОН,Аттестат,273,000273,Аттестат (шаҳодатнома) дар бораи таҳсилоти миёнаи умумӣ,Шахсони воқеӣ,Муассисаҳои таълимии таҳсилоти миёнаи умумӣ,Муассисаҳои таълимии таҳсилоти миёнаи умумӣ,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МАОРИФ ВА ИЛМИ ҶУМҲУРИИ ТОҶИКИСТОН,Диплом,274,000274,"Диплом дар бораи таҳсилоти олии касбӣ (бакалавр, мутахассис, магистр)",Шахсони воқеӣ,Муассисаҳои таълимии таҳсилоти олии касбӣ,Муассисаҳои таълимии таҳсилоти олии касбӣ,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МАОРИФ ВА ИЛМИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,275,000275,"Шаҳодатнома (диплом, аттестат, тасдиқнома, сертификат) дар бораи такмили ихтисос ва бозомӯзӣ",Шахсони воқеӣ,Муассисаҳои давлатии таълимӣ,Муассисаҳои давлатии таълимӣ,"Коғазӣ, электронӣ",Музднок
"ВАЗОРАТИ МЕҲНАТ, МУҲОҶИРАТ ВА ШУҒЛИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН",Иҷозат,278,000278,"Иҷозат барои кор ба шаҳрвандони хориҷӣ ва шахсони бешаҳрванд, ки дар Ҷумҳурии Тоҷикистон фаъолияти меҳнатиро амалӣ менамоянд",Шахсони воқеӣ,Хадамоти муҳоҷират,Хадамоти муҳоҷират,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МОЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,299,000299,Иҷозат барои истихроҷи канданиҳои фоиданоки пошхӯрда бо усули худфаъолӣ ва худбиёрӣ,Шахсони воқеӣ,Вазорати молияи Ҷумҳурии Тоҷикистон,Раёсатҳои Вазорати молияи Ҷумҳурии Тоҷикистон дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МОЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,317,000317,Сертификати муҳосиби касбӣ (барои сармуҳосибони субъектҳои дорои манфиати умум),Шахсони воқеӣ,Вазорати молияи Ҷумҳурии Тоҷикистон,Вазорати молияи Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ МОЛИЯИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,329,000329,Шаҳодатномаи тахассусии аудиторӣ,Шахсони воқеӣ,Вазорати молияи Ҷумҳурии Тоҷикистон,Вазорати молияи Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ НАҚЛИЁТИ ҶУМҲУРИИ ТОҶИКИСТОН,Варақаҳо,332,000332,Варақаи хатсайр,Шахсони воқеӣ,Хадамоти давлатии назорат ва танзим дар соҳаи нақлиёт,Хадамоти давлатии назорат ва танзим дар соҳаи нақлиёт,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ НАҚЛИЁТИ ҶУМҲУРИИ ТОҶИКИСТОН,Варақаҳо,333,000333,Варақаи реҷаи корӣ ва истироҳати ронанда,Шахсони воқеи,Хадамоти давлатии назорат ва танзим дар соҳаи нақлиёт,Хадамоти давлатии назорат ва танзим дар соҳаи нақлиёт,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ НАҚЛИЁТИ ҶУМҲУРИИ ТОҶИКИСТОН,Варақаҳо,336,000336,Варақаи корти тахограф барои ронандагони автомобилҳои боркаши байналмиллалӣ,Шахси воқеӣ,Муассисаи давлатии «Нақлиёти автомобилӣ ва хизматрасонии логистикӣ»,Муассисаи давлатии «Нақлиёти автомобилӣ ва хизматрасонии логистикӣ»,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ НАҚЛИЁТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат (Рухсатнома),364,000364,Иҷозати махсус барои ҳаракати воситаҳои нақлиёти автомобилӣ бо борҳои вазнин ва калонҳаҷми тақсимнашаванда,Шахсони воқеӣ,Хадамоти давлатии назорат ва танзим дар соҳаи нақлиёт,Хадамоти давлатии назорат ва танзим дар соҳаи нақлиёт,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Дафтарча,432,000432,Дафтарчаи шахсии тиббӣ,Шахсони воқеӣ,"Хадамоти назорати давлатии санитарию эпидемологӣ ва шахсони ҳуқуқие, ки мутобиқи қонунгузории Ҷумҳурии Тоҷикистон хизматрасониҳои давлатиро амалӣ менамоянд","Хадамоти назорати давлатии санитарию эпидемологӣ ва шахсони ҳуқуқие, ки мутобиқи қонунгузории Ҷумҳурии Тоҷикистон хизматрасониҳои давлатиро амалӣ менамоянд","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумотнома,447,000447,Маълумотнома дар бораи ҳайати оила,Шахсони воқеӣ,"Ҷамоатҳои шаҳрак ва деҳот, бахшҳои ҳифзи иҷтимоии аҳолии шаҳру ноҳияҳо","Ҷамоатҳои шаҳрак ва деҳот, бахшҳои ҳифзи иҷтимоии аҳолии шаҳру ноҳияҳо","Коғазӣ, электронӣ",Ройгон
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумотнома,448,000448,Маълумот дар бораи даромад ва молу мулки ҳамаи аъзои оила,Шахсони воқеӣ,"Ҷамоатҳои шаҳрак ва деҳот, бахшҳои ҳифзи иҷтимоии аҳолии шаҳру ноҳияҳо","Ҷамоатҳои шаҳрак ва деҳот, бахшҳои ҳифзи иҷтимоии аҳолии шаҳру ноҳияҳо","Коғазӣ, электронӣ",Ройгон
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,456,000456,Сертификати мутахассис барои машғул шудан ба фаъолияти тиббӣ,Шахсони воқеӣ,Вазорати тандурустӣ ва ҳифзи иҷтимоии аҳолии Ҷумҳурии Тоҷикистон,Вазорати тандурустӣ ва ҳифзи иҷтимоии аҳолии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,460,000460,"Хулоса аз натиҷаи экспертизаи корношоямии муваққатӣ, тӯлонӣ ё доимӣ",Шахсони воқеӣ,Муассисаҳои тиббии беморхонавӣ ва кӯмаки аввалияи тиббию санитарӣ,Муассисаҳои тиббии беморхонавӣ ва кӯмаки аввалияи тиббию санитарӣ,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,461,000461,Хулоса аз натиҷаи экспертизаи коршоямии касбӣ ва экспертизаи алоқамандии беморӣ бо касбият,Шахсони воқеӣ,Муассисаҳои тиббии беморхонавӣ ва кӯмаки аввалияи тиббию санитарӣ,Муассисаҳои тиббии беморхонавӣ ва кӯмаки аввалияи тиббию санитарӣ,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,462,000462,Хулоса аз натиҷаи экспертизаи тиббию иҷтимоии бемориҳои касбӣ,Шахсони воқеӣ,"Хадамоти давлатии ташхиси тиббию иҷтимоӣ, шуъбаҳои Хадамоти давлатии экспертизаи тиббию иҷтимоии Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон, Суғд ва шаҳру ноҳияҳо","Хадамоти давлатии ташхиси тиббию иҷтимоӣ, шуъбаҳои Хадамоти давлатии экспертизаи тиббию иҷтимоии Вилояти Мухтори Кӯҳистони Бадахшон, вилоятҳои Хатлон, Суғд ва шаҳру ноҳияҳо","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,463,000463,"Хулоса аз натиҷаи экспертизаи судию тиббӣ, судию равонӣ ва судию наркологӣ",Шахсони воқеӣ,"Муассисаҳои давлатии «Марказҳои ҷумҳуриявии эксперизаи суддию тиббӣ», «Беморхонаи ҷумҳуриявии килиникии бемориҳои равонӣ» ва «Маркази ҷумҳуриявии клиникии равоншиносӣ»","Муассисаҳои давлатии «Марказҳои ҷумҳуриявии эксперизаи суддию тиббӣ», «Беморхонаи ҷумҳуриявии килиникии бемориҳои равонӣ» ва «Маркази ҷумҳуриявии клиникии равоншиносӣ»","Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ТАНДУРУСТӢ ВА ҲИФЗИ ИҶТИМОИИ АҲОЛИИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,464,000464,Хулоса экспертизаи илмии тиббӣ ба нашрияи китобҳои илмию таълимии тиббӣ ва фармасевтӣ,Шахсони воқеӣ,Вазорати тандурустӣ ва ҳифзи иҷтимоии аҳолии Ҷумҳурии Тоҷикистон,Вазорати тандурустӣ ва ҳифзи иҷтимоии аҳолии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ФАРҲАНГИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,473,000473,Шаҳодатномаҳои бақайдгирии ҳуқуқҳои вобаста ба он,Шахсони воқеӣ,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ВАЗОРАТИ ФАРҲАНГИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,474,000474,Шаҳодатномаи муаллифӣ ба асари нашршуда ё нашрнашуда,Шахсони воқеӣ,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,Вазорати фарҳанги Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
КУМИТА ОИД БА ТАҲСИЛОТИ ИБТИДОӢ ВА МИЁНАИ КАСБИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Сертификат,525,000525,Сертификат оид ба омӯзиши курсҳои кӯтоҳмуддат,Шахсони воқеӣ,Кумита оид ба таҳсилоти ибтидоӣ ва миёнаи касбии назди Ҳукумати Ҷумҳурии Тоҷикистон,Кумита оид ба таҳсилоти ибтидоӣ ва миёнаи касбии назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
КУМИТА ОИД БА ТАҲСИЛОТИ ИБТИДОӢ ВА МИЁНАИ КАСБИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,526,526,"Шаҳодатнома дар бораи касб (дараҷа, синф, гурўҳ)",Шахсони воқеӣ,Муассисаҳои таҳсилоти ибтидоӣ ва миёнаи касбӣ,Муассисаҳои таҳсилоти ибтидоӣ ва миёнаи касбӣ,"Коғазӣ, электронӣ",Музднок
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Баҳисобгирӣ,527,000527,Баҳисобгирии шахсони воқеӣ (шаҳодатнома дар бораи баҳисобгирии рақами мушаххаси андозсупоранда),Шахсони воқеӣ,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,Бахшҳои бақайдгирии давлатии шахсони ҳуқуқӣ ва соҳибкорони инфиродӣ дар шаҳру ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумот,534,000534,Маълумот оид ба қабул намудани эъломияҳо (ҳисоботҳо)-и андоз оид ба даромад ва вазъи молу мулки хизматчии давлатӣ ва дохил намудани маълумот ба барномаи системаи иттилоотии андоз,Шахсони воқеӣ,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,Электронӣ,Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумот,536,000536,Маълумотнома ба андозсупорандагон дар бораи мавҷуд набудани қарзи андозҳо аз молу мулки ғайриманқул ва андоз аз воситаҳои нақлиёт,Шахсони воқеӣ,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумот,537,000537,Маълумотнома дар бораи пардохти андоз аз даромад ва андози иҷтимоӣ бо мақсади таъмини ҳифзи иҷтимоии соҳибкорони инфиродӣ,Шахсони воқеӣ,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ АНДОЗИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Маълумот,538,000538,Маълумотнома ба ғайрирезидент оид ба даромадҳои дар Ҷумҳурии Тоҷикистон гирифташуда ва андозҳои нигоҳдошташуда,Шахсони воқеӣ,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,Нозиротҳои андоз дар шаҳрҳо ва ноҳияҳо,"Коғазӣ, электронӣ",Ройгон
КУМИТАИ БЕХАТАРИИ ОЗУҚАВОРИИ НАЗДИ ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,555,000555,"Иҷозатнома оид ба фаъолияти хусусии табобатӣ-пешгирикунӣ, ҷарроҳӣ, акушерӣ-гинекологӣ",Шахсони воқеӣ,Кумитаи бехатарии озуқавории назди Ҳукумати Ҷумҳурии Тоҷикистон,Кумитаи бехатарии озуқавории назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
